city,name,address,postal_code,latitude,longitude,open_weekend,open_holidays,open_time,close_time,fee_per_hour,cashless_payment,ev_charging,total_spots,source_url
Berlin,Tiefgarage Plaza ,"Mildred-Harnack-Straße 11-13, 10243 Berlin",10243,,,True,True,0,24,0.0,False,0,400,https://www.mein-contipark.de/parkplatz-finden/parken-in-berlin/tiefgarage-plaza-berlin--ci3cp113078649
Berlin,Parkhaus Spandau Altstädter Ring ,"Altstädter Ring 20, 13597 Berlin",13597,,,True,True,0,24,0.0,False,0,300,https://www.mein-contipark.de/parkplatz-finden/parken-in-berlin/parkhaus-spandau-altstaedter-ring-berlin--ci3cp30441
Berlin,Parkplatz Charité Campus Virchow Klinikum ,"Seestraße 4-5, 13353 Berlin",13353,,,True,True,0,24,0.0,False,-,70,https://www.mein-contipark.de/parkplatz-finden/parken-in-berlin/parkplatz-charite-campus-virchow-klinikum-berlin--ci3cp30512
Berlin,Tiefgarage Los-Angeles-Platz,"Rankestraße 27-29, 10789 Berlin",10789,,,True,True,0,24,0.0,True,0,230,https://www.mein-contipark.de/parkplatz-finden/parken-in-berlin/tiefgarage-los-angeles-platz-berlin--ci3cp30301
Berlin,Tiefgarage Kranzler Eck,"Kantstraße 160, 10623 Berlin",10623,,,True,True,0,24,0.0,True,0,545,https://www.mein-contipark.de/parkplatz-finden/parken-in-berlin/tiefgarage-kranzler-eck-berlin--ci3cp10221
Berlin,Parkplatz Forum Landsberger Allee,"Storkower Straße 156A, 10407 Berlin",10407,,,True,True,0,24,0.0,True,-,50,https://www.mein-contipark.de/parkplatz-finden/parken-in-berlin/parkplatz-forum-landsberger-allee-berlin--ci3cp112679707
Berlin,Parkhaus Steglitzer Kreisel,"Schloßstraße 74, 12165 Berlin",12165,,,True,True,0,24,0.0,False,-,645,https://www.mein-contipark.de/parkplatz-finden/parken-in-berlin/parkhaus-steglitzer-kreisel-berlin--ci3cp10231
Berlin,Tiefgarage Hauptbahnhof P1,"Clara-Jaschke-Straße 88, 10557 Berlin",10557,,,True,True,0,24,3.0,True,-,814,https://www.mein-contipark.de/parkplatz-finden/parken-in-berlin/tiefgarage-hauptbahnhof-p1-berlin--ci3cp14451
Berlin,Parkhaus Arena,"Helen-Ernst-Straße 2-4, 10243 Berlin",10243,,,True,True,0,24,0.0,True,0,871,https://www.mein-contipark.de/parkplatz-finden/parken-in-berlin/parkhaus-arena-berlin--ci3cp113078669
Berlin,Tiefgarage Leibniz Kolonnaden ,"Leibnizstraße 49-53, 10629 Berlin",10629,,,True,True,0,24,0.0,True,-,358,https://www.mein-contipark.de/parkplatz-finden/parken-in-berlin/tiefgarage-leibniz-kolonnaden-berlin--ci3cp11611
Berlin,Parkhaus Der Clou,"Kapweg, 13405 Berlin",13405,,,False,False,6,23,0.0,False,-,428,https://www.mein-contipark.de/parkplatz-finden/parken-in-berlin/parkhaus-der-clou-berlin--ci3cp11761
Berlin,Parkhaus Südkreuz P1,"Lotte-Laserstein-Straße, 10829 Berlin",10829,,,True,True,0,24,2.5,True,0,205,https://www.mein-contipark.de/parkplatz-finden/parken-in-berlin/parkhaus-suedkreuz-p1-berlin--ci3cp14461
Berlin,Tiefgarage Center am Potsdamer Platz,"Bellevuestraße 3, 10785 Berlin",10785,,,True,True,0,24,0.0,True,-,788,https://www.mein-contipark.de/parkplatz-finden/parken-in-berlin/tiefgarage-center-am-potsdamer-platz-berlin--ci3cp116813391
Berlin,Tiefgarage Kulturbrauerei,"Sredzkistraße 1, 10435 Berlin",10435,,,True,True,0,24,0.0,True,-,247,https://www.mein-contipark.de/parkplatz-finden/parken-in-berlin/tiefgarage-kulturbrauerei-berlin--ci3cp11061
Berlin,Parkhaus Neukölln Arcaden,"Erlanger Straße, 12053 Berlin",12053,,,True,True,0,24,0.0,True,-,514,https://www.mein-contipark.de/parkplatz-finden/parken-in-berlin/parkhaus-neukoelln-arcaden-berlin--ci3cp11881
Berlin,Parkhaus Europa-Center,"Nürnberger Straße 5 - 7, 10787 Berlin",10787,,,True,True,0,24,0.0,True,-,954,https://www.mein-contipark.de/parkplatz-finden/parken-in-berlin/parkhaus-europa-center-berlin--ci3cp10011
Berlin,Parkplatz Ostbahnhof P1,"Am Ostbahnhof, 10243 Berlin",10243,,,True,True,0,24,2.0,True,-,113,https://www.mein-contipark.de/parkplatz-finden/parken-in-berlin/parkplatz-ostbahnhof-p1-berlin--ci3cp12252
Berlin,Parkhaus Forum Landsberger Allee,"Storkower Straße 156A, 10407 Berlin",10407,,,True,True,0,24,0.0,True,0,409,https://www.mein-contipark.de/parkplatz-finden/parken-in-berlin/parkhaus-forum-landsberger-allee-berlin--ci3cp112678559
Berlin,Parkhaus ICC,"Messedamm 22, 14055 Berlin",14055,,,False,False,8,22,0.0,True,-,620,https://www.mein-contipark.de/parkplatz-finden/parken-in-berlin/parkhaus-icc-berlin--ci3cp112400100
Berlin,Tiefgarage Living Berlin,"Uhlandstraße 9-10, 10623 Berlin",10623,,,True,True,0,24,0.0,True,-,158,https://www.mein-contipark.de/parkplatz-finden/parken-in-berlin/tiefgarage-living-berlin-berlin--ci3cp10031
Berlin,Parkplatz Krankenhaus Waldfriede,"Argentinische Allee 40, 14163 Berlin",14163,,,True,True,0,24,0.0,False,-,60,https://www.mein-contipark.de/parkplatz-finden/parken-in-berlin/parkplatz-krankenhaus-waldfriede-berlin--ci3cp115462418
Berlin,Tiefgarage Zehlendorfer Welle,"Clayallee 328-334, 14169 Berlin",14169,,,True,True,0,24,0.0,True,-,351,https://www.mein-contipark.de/parkplatz-finden/parken-in-berlin/tiefgarage-zehlendorfer-welle-berlin--ci3cp10201
Berlin,Tiefgarage Friedrichstadt-Passagen (Q 205) ,"Taubenstraße 14, 10117 Berlin",10117,,,True,True,0,24,0.0,True,-,487,https://www.mein-contipark.de/parkplatz-finden/parken-in-berlin/tiefgarage-friedrichstadt-passagen-q-205-berlin--ci3cp11551
Berlin,Parkplatz Südkreuz West P2 Kiss+Ride,"Lotte-Laserstein-Straße, 10829 Berlin",10829,,,True,True,0,24,2.5,False,-,31,https://www.mein-contipark.de/parkplatz-finden/parken-in-berlin/parkplatz-suedkreuz-west-p2-kiss-ride-berlin--ci3cp14481
